pygaze initiation report start
display resolution: 1920x1080
display size in cm: 33.8x27.1
fixation threshold: 1.5 degrees
speed threshold: 35 degrees/second
acceleration threshold: 9500 degrees/second**2
pygaze initiation report end
pygaze calibration report start
samplerate: 57 Hz
sampletime: 17.2507581942 ms
accuracy (in pixels): LX=739.46159842, LY=447.501908272, RX=739.260759912, RY=444.035422493
precision (RMS noise in pixels): X=8.42715546033, Y=12.0232824983
distance between participant and display: 57.0 cm
fixation threshold: 72.1350984011 pixels
speed threshold: 1.68276794963 pixels/ms
accuracy threshold: 460.983415874 pixels/ms**2
pygaze calibration report end
TimeStamp	Event	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	PupilSizeLeft	PupilValidityLeft	PupilSizeRight	PupilValidityRight
306.955		-1	-1	0	-1	-1	0	-1.0	-1.0	-1.0	0	-1.0	0
334.396		-1	-1	0	-1	-1	0	-1.0	-1.0	-1.0	0	-1.0	0
363.631		-1	-1	0	-1	-1	0	-1.0	-1.0	-1.0	0	-1.0	0
393.072		-1	-1	0	-1	-1	0	-1.0	-1.0	-1.0	0	-1.0	0
408.133		-1	-1	0	-1	-1	0	-1.0	-1.0	-1.0	0	-1.0	0
424.638		-1	-1	0	-1	-1	0	-1.0	-1.0	-1.0	0	-1.0	0
441.411		-1	-1	0	-1	-1	0	-1.0	-1.0	-1.0	0	-1.0	0
458.507		-1	-1	0	-1	-1	0	-1.0	-1.0	-1.0	0	-1.0	0
475.447		-1	-1	0	-1	-1	0	-1.0	-1.0	-1.0	0	-1.0	0
492.78		1370.0	396.0	1	-1	-1	0	1370.0	396.0	3.2635	1	-1.0	0
509.526		1138.0	483.0	1	-1	-1	0	1138.0	483.0	2.6601	1	-1.0	0
526.889		972.0	557.0	1	949.0	601.0	1	961	579	2.2623	1	2.5814	1
543.393		969.0	550.0	1	960.0	578.0	1	965	564	2.2857	1	2.4491	1
560.385		952.0	521.0	1	962.0	571.0	1	957	546	2.2898	1	2.471	1
577.091		964.0	516.0	1	973.0	566.0	1	969	541	2.3163	1	2.5028	1
594.546		952.0	534.0	1	966.0	558.0	1	959	546	2.3454	1	2.4912	1
609.632		954.0	538.0	1	939.0	563.0	1	947	550	2.3674	1	2.5996	1
